index,Language,Length,Accuracy
9-English-Latin1,English-Latin1,9,0.7818181818181819
7-English-Latin1,English-Latin1,7,0.6571428571428571
6-English-Latin1,English-Latin1,6,0.6
4-English-Latin1,English-Latin1,4,0.5849056603773585
5-English-Latin1,English-Latin1,5,0.6730769230769231
10-English-Latin1,English-Latin1,10,0.8
3-English-Latin1,English-Latin1,3,0.631578947368421
2-English-Latin1,English-Latin1,2,0.6842105263157895
11-English-Latin1,English-Latin1,11,0.8846153846153846
8-English-Latin1,English-Latin1,8,0.7017543859649122
12-English-Latin1,English-Latin1,12,0.8888888888888888
13-English-Latin1,English-Latin1,13,0.8333333333333334
14-English-Latin1,English-Latin1,14,1.0
1-English-Latin1,English-Latin1,1,0.0
15-English-Latin1,English-Latin1,15,0.0
7-French_Francais-Latin1,French_Francais-Latin1,7,0.75
13-French_Francais-Latin1,French_Francais-Latin1,13,0.8181818181818182
9-French_Francais-Latin1,French_Francais-Latin1,9,0.8103448275862069
5-French_Francais-Latin1,French_Francais-Latin1,5,0.8636363636363636
6-French_Francais-Latin1,French_Francais-Latin1,6,0.8405797101449275
11-French_Francais-Latin1,French_Francais-Latin1,11,0.8857142857142857
4-French_Francais-Latin1,French_Francais-Latin1,4,0.8333333333333334
12-French_Francais-Latin1,French_Francais-Latin1,12,0.8333333333333334
10-French_Francais-Latin1,French_Francais-Latin1,10,0.775
3-French_Francais-Latin1,French_Francais-Latin1,3,0.7666666666666667
8-French_Francais-Latin1,French_Francais-Latin1,8,0.7058823529411765
2-French_Francais-Latin1,French_Francais-Latin1,2,0.47619047619047616
14-French_Francais-Latin1,French_Francais-Latin1,14,0.8181818181818182
1-French_Francais-Latin1,French_Francais-Latin1,1,0.625
15-French_Francais-Latin1,French_Francais-Latin1,15,1.0
4-Spanish-Latin1,Spanish-Latin1,4,0.8064516129032258
6-Spanish-Latin1,Spanish-Latin1,6,0.6444444444444445
11-Spanish-Latin1,Spanish-Latin1,11,0.7333333333333333
10-Spanish-Latin1,Spanish-Latin1,10,0.8524590163934426
7-Spanish-Latin1,Spanish-Latin1,7,0.828125
8-Spanish-Latin1,Spanish-Latin1,8,0.8493150684931506
9-Spanish-Latin1,Spanish-Latin1,9,0.7894736842105263
5-Spanish-Latin1,Spanish-Latin1,5,0.6296296296296297
3-Spanish-Latin1,Spanish-Latin1,3,0.5909090909090909
2-Spanish-Latin1,Spanish-Latin1,2,0.3684210526315789
14-Spanish-Latin1,Spanish-Latin1,14,0.5384615384615384
13-Spanish-Latin1,Spanish-Latin1,13,0.875
12-Spanish-Latin1,Spanish-Latin1,12,0.8695652173913043
1-Spanish-Latin1,Spanish-Latin1,1,0.8333333333333334
15-Spanish-Latin1,Spanish-Latin1,15,0.6666666666666666
4-Italian-Latin1,Italian-Latin1,4,0.6153846153846154
9-Italian-Latin1,Italian-Latin1,9,0.7333333333333333
11-Italian-Latin1,Italian-Latin1,11,0.8928571428571429
2-Italian-Latin1,Italian-Latin1,2,0.6
12-Italian-Latin1,Italian-Latin1,12,0.9545454545454546
6-Italian-Latin1,Italian-Latin1,6,0.8115942028985508
10-Italian-Latin1,Italian-Latin1,10,0.7111111111111111
7-Italian-Latin1,Italian-Latin1,7,0.6944444444444444
8-Italian-Latin1,Italian-Latin1,8,0.7272727272727273
3-Italian-Latin1,Italian-Latin1,3,0.6071428571428571
15-Italian-Latin1,Italian-Latin1,15,1.0
13-Italian-Latin1,Italian-Latin1,13,1.0
5-Italian-Latin1,Italian-Latin1,5,0.8208955223880597
1-Italian-Latin1,Italian-Latin1,1,0.42857142857142855
14-Italian-Latin1,Italian-Latin1,14,1.0
7-German_Deutsch-Latin1,German_Deutsch-Latin1,7,0.9148936170212766
8-German_Deutsch-Latin1,German_Deutsch-Latin1,8,0.9661016949152542
13-German_Deutsch-Latin1,German_Deutsch-Latin1,13,0.96
11-German_Deutsch-Latin1,German_Deutsch-Latin1,11,1.0
9-German_Deutsch-Latin1,German_Deutsch-Latin1,9,0.9591836734693877
18-German_Deutsch-Latin1,German_Deutsch-Latin1,18,1.0
14-German_Deutsch-Latin1,German_Deutsch-Latin1,14,0.9047619047619048
10-German_Deutsch-Latin1,German_Deutsch-Latin1,10,0.9583333333333334
6-German_Deutsch-Latin1,German_Deutsch-Latin1,6,0.8709677419354839
15-German_Deutsch-Latin1,German_Deutsch-Latin1,15,0.8461538461538461
3-German_Deutsch-Latin1,German_Deutsch-Latin1,3,0.7142857142857143
19-German_Deutsch-Latin1,German_Deutsch-Latin1,19,1.0
2-German_Deutsch-Latin1,German_Deutsch-Latin1,2,0.4444444444444444
5-German_Deutsch-Latin1,German_Deutsch-Latin1,5,0.8085106382978723
12-German_Deutsch-Latin1,German_Deutsch-Latin1,12,0.9565217391304348
4-German_Deutsch-Latin1,German_Deutsch-Latin1,4,0.8285714285714286
16-German_Deutsch-Latin1,German_Deutsch-Latin1,16,1.0
17-German_Deutsch-Latin1,German_Deutsch-Latin1,17,1.0
21-German_Deutsch-Latin1,German_Deutsch-Latin1,21,1.0
20-German_Deutsch-Latin1,German_Deutsch-Latin1,20,1.0
1-German_Deutsch-Latin1,German_Deutsch-Latin1,1,0.0
